年份,月份,DDR4_8GB_均价(元)
2016,1,280.0
2016,2,270.0
2016,3,230.0
2016,4,220.0
2016,5,210.0
2016,6,205.0
2016,7,290.0
2016,8,305.0
2016,9,365.0
2016,10,400.0
2016,11,435.0
2016,12,465.0
2017,1,500.0
2017,2,555.0
2017,3,605.0
2017,4,675.0
2017,5,725.0
2017,6,775.0
2017,7,825.0
2017,8,875.0
2017,9,935.0
2017,10,954.0
2017,11,775.0
2017,12,720.0
2018,1,675.0
2018,2,625.0
2018,3,575.0
2018,4,535.0
2018,5,500.0
2018,6,465.0
2018,7,435.0
2018,8,410.0
2018,9,365.0
2018,10,335.0
2018,11,305.0
2018,12,280.0
2019,1,270.0
2019,2,260.0
2019,3,250.0
2019,4,240.0
2019,5,230.0
2019,6,220.0
2019,7,220.0
2019,8,210.0
2019,9,200.0
2019,10,190.0
2019,11,180.0
2019,12,170.0
2020,1,180.0
2020,2,190.0
2020,3,200.0
2020,4,230.0
2020,5,240.0
2020,6,240.0
2020,7,230.0
2020,8,230.0
2020,9,220.0
2020,10,210.0
2020,11,200.0
2020,12,200.0
2021,1,210.0
2021,2,230.0
2021,3,255.0
2021,4,295.0
2021,5,335.0
2021,6,345.0
2021,7,345.0
2021,8,355.0
2021,9,360.0
2021,10,335.0
2021,11,305.0
2021,12,280.0
2022,1,260.0
2022,2,240.0
2022,3,220.0
2022,4,210.0
2022,5,190.0
2022,6,170.0
2022,7,160.0
2022,8,130.0
2022,9,140.0
2022,10,130.0
2022,11,125.0
2022,12,120.0
2023,1,125.0
2023,2,125.0
2023,3,125.0
2023,4,128.0
2023,5,130.0
2023,6,135.0
2023,7,140.0
2023,8,175.0
2023,9,140.0
2023,10,145.0
2023,11,150.0
2023,12,155.0
2024,1,150.0
2024,2,140.0
2024,3,130.0
2024,4,115.0
2024,5,105.0
2024,6,102.0
2024,7,100.0
2024,8,98.0
2024,9,100.0
2024,10,95.0
2024,11,90.0
2024,12,90.0
2025,1,95.0
2025,2,102.0
2025,3,110.0
2025,4,120.0
2025,5,130.0
2025,6,165.0
2025,7,220.0
2025,8,265.0
2025,9,325.0
2025,10,375.0
2025,11,425.0
2025,12,450.0
2026,1,475.0
2026,2,400.0
2026,3,
2026,4,
2026,5,
2026,6,
2026,7,
2026,8,
2026,9,
2026,10,
2026,11,
2026,12,
